00011E,Precidia Technologies
00011F,RC Networks
000120,OSCILLOQUARTZ S.A.
000121,Watchguard Technologies
000122,Trend Communications
000123,DIGITAL ELECTRONICS CORP.
000124,Acer Incorporated
000125,YAESU MUSEN CO.
000126,PAC Labs
000127,OPEN Networks Pty Ltd
000128,EnjoyWeb
000129,DFI Inc.
00012A,Telematica Sistems Inteligente
00012B,TELENET Co.
00012C,Aravox Technologies
00012D,Komodo Technology
00012E,PC Partner Ltd.
00012F,Twinhead International Corp
000130,Extreme Networks
000131,Bosch Security Systems
000132,Dranetz-               # Dranetz - BMI
000133,KYOWA Electronic Instruments C
000134,Selectron Systems AG
000135,KDC Corp.
000136,CyberTAN Technology Inc.
000137,IT Farm Corporation
000138,XAVi Technologies Corp.
000139,Point Multimedia Systems
00013A,SHELCAD COMMUNICATIONS
00013B,BNA SYSTEMS
00013C,TIW SYSTEMS
00013D,RiscStation Ltd.
00013E,Ascom Tateco AB
00013F,Neighbor World Co.
000140,Sendtek Corporation
000141,CABLE PRINT
000142,Cisco Systems
000143,IEEE 802
000144,EMC Corporation
000145,WINSYSTEMS
000146,Tesco Controls
000147,Zhone Technologies
000148,X-traWeb Inc.
000149,T.D.T. Transfer Data Test GmbH
00014A,Sony Corporation
00014B,Ennovate Networks
00014C,Berkeley Process Control
00014D,Shin Kin Enterprises Co.
00014E,WIN Enterprises
00014F,Adtran Inc
000150,Megahertz (now 3com) modem
000151,Ensemble Communications
000152,CHROMATEK INC.
000153,ARCHTEK TELECOM CORPORATION
000154,G3M Corporation
000155,Promise Technology
000156,FIREWIREDIRECT.COM
000157,SYSWAVE CO.
000158,Electro Industries/Gauge Tech
000159,S1 Corporation
00015A,Digital Video Broadcasting
00015B,ITALTEL S.p.A/RF-UP-I
00015C,CADANT INC.
00015D,Oracle Corporation
00015E,BEST TECHNOLOGY CO.
00015F,DIGITAL DESIGN GmbH
000160,ELMEX Co.
000161,Meta Machine Technology
000162,Cygnet Technologies
000163,NDC (National Datacomm Corporation)
000164,Cisco Systems
000165,AirSwitch Corporation
000166,TC GROUP A/S
000167,HIOKI E.E. CORPORATION
000168,W&G (Wandel & Goltermann)[incorrect according to W&G]
000169,Celestix Networks Pte Ltd.
00016A,Alitec
00016B,LightChip
00016C,Foxconn
00016D,CarrierComm Inc.
00016E,Conklin Corporation
00016F,Inkel Corp.
000170,ESE Embedded System Engineer'g
000171,Allied Data Technologies
000172,TechnoLand Co.
000173,Amcc
000174,CyberOptics Corporation
000175,Radiant Communications Corp.
000176,Orient Silver Enterprises
000177,Edsl
000178,MARGI Systems
000179,WIRELESS TECHNOLOGY
00017A,Chengdu Maipu Electric Industrial Co.
00017B,Heidelberger Druckmaschinen AG
00017C,AG-E GmbH
00017D,ThermoQuest
00017E,ADTEK System Science Co.
00017F,Experience Music Project
000180,AOpen
000181,Nortel Networks
000182,DICA TECHNOLOGIES AG
000183,ANITE TELECOMS
000184,SIEB & MEYER AG
000185,Hitachi Aloka Medical
000186,Uwe Disch
000187,I2SE GmbH
000188,LXCO Technologies ag
000189,Refraction Technology
00018A,ROI COMPUTER AG
00018B,NetLinks Co.
00018C,Mega Vision
00018D,AudeSi Technologies
00018E,Logitec Corporation
00018F,Kenetec
000190,Smk-M
000191,SYRED Data Systems
000192,Texas Digital Systems
000193,Hanbyul Telecom Co.
000194,Capital Equipment Corporation
000195,Sena Technologies
000196,Cisco Systems
000197,Cisco Systems
000198,Darim Vision
000199,HeiSei Electronics
00019A,LEUNIG GmbH
00019B,Kyoto Microcomputer Co.
00019C,JDS Uniphase Inc.
00019D,E-Control Systems
00019E,ESS Technology
00019F,Readynet
0001A0,Infinilink Corporation
0001A1,Mag-Tek
0001A2,Logical Co.
0001A3,GENESYS LOGIC
0001A4,Microlink Corporation
0001A5,Nextcomm
0001A6,Scientific-Atlanta Arcodan A/S
0001A7,UNEX TECHNOLOGY CORPORATION
0001A8,Welltech Computer Co.
0001A9,BMW AG
0001AA,Airspan Communications
0001AB,Main Street Networks
0001AC,Sitara Networks
0001AD,Coach Master International  d.b.a. CMI Worldwide
0001AE,Trex Enterprises
0001AF,Artesyn Embedded Technologies
0001B0,Fulltek Technology Co.
0001B1,General Bandwidth
0001B2,Digital Processing Systems
0001B3,Precision Electronic Manufacturing
0001B4,Wayport
0001B5,Turin Networks
0001B6,SaejinT&               # SAEJIN T&M Co.
0001B7,Centos
0001B8,Netsensity
0001B9,SKF Condition Monitoring
0001BA,IC-Net
0001BB,Frequentis
0001BC,Brains Corporation
0001BD,Peterson Electro-Musical Products
0001BE,Gigalink Co.
0001BF,Teleforce Co.
0001C0,CompuLab
0001C1,Vitesse Semiconductor Corporation
0001C2,ARK Research Corp.
0001C3,Acromag
0001C4,NeoWave
0001C5,Simpler Networks
0001C6,Quarry Technologies
0001C7,Cisco Systems
0001C8,Thomas Conrad Corp.
0001C9,Cisco Systems
0001CA,Geocast Network Systems
0001CB,Evr
0001CC,Japan Total Design Communication Co.
0001CD,Artem
0001CE,Custom Micro Products
0001CF,Alpha Data Parallel Systems
0001D0,VitalPoint
0001D1,CoNet Communications
0001D2,inXtron
0001D3,PAXCOMM
0001D4,Leisure Time
0001D5,HAEDONG INFO & COMM CO.
